customer_id,account_age_days,monthly_minutes,monthly_data_gb,monthly_calls,support_calls,support_tickets,payment_delays,late_payments,service_plan,contract_length,satisfaction_score,usage_trend,customer_value,churn_probability,churned
CUST_000001,171,121.22083085340824,46.838709054713924,22,3,0,0,3,Basic,12,2.675327242329005,-0.4308635776587321,56.69471003598784,0.0,0
CUST_000002,1098,126.27924902496332,100.0,18,1,0,0,1,Basic,24,3.772567662746229,0.6560402992329679,93.95360152995862,0.0,0
CUST_000003,480,204.14221564621312,5.25890197781847,11,3,1,13,0,Basic,1,1.2435556590543049,-0.40582046553299916,27.679229144073595,0.35351336235116193,0
CUST_000004,333,328.28837213029874,32.0635345459418,20,1,0,5,0,Enterprise,12,3.6578480779592972,0.5093896558054126,79.43908526559375,0.0,0
CUST_000005,61,508.19625463089375,62.83692856189721,22,5,4,5,0,Premium,24,3.6702529248878246,-0.2534277442847867,113.34061899291623,0.0,0
CUST_000006,61,128.6964897365355,37.452677459608,15,0,3,4,0,Basic,1,3.596485160954908,0.2370097702620967,60.56083931300663,0.0,0
CUST_000007,21,807.6678159926593,29.57330059893214,19,6,0,1,1,Premium,24,1.8848053242343898,0.13962992702423385,108.20148514107589,0.6370175452819827,0
CUST_000008,734,196.9797869513513,9.032088601706532,23,3,4,4,0,Basic,24,2.692125221374878,0.19962561008892504,45.73527520973718,0.06783468853190315,0
CUST_000009,335,240.54475519537388,41.79541911354448,17,2,1,2,0,Basic,24,2.9979158613822854,0.2196042816720571,68.33134369013248,0.21702548629763252,0
CUST_000010,449,134.5896684293454,15.537182512256567,10,3,1,0,1,Enterprise,12,4.262673890923808,-0.48346968670125323,55.854297008300904,0.0,0
CUST_000011,7,35.18457554349713,3.7064638985204046,10,1,3,5,1,Basic,36,1.3910330349696896,-0.20290379774225312,11.28201985330681,0.15515825252244883,0
CUST_000012,1278,496.3276618009402,100.0,13,3,2,0,1,Premium,24,2.1543347137366684,-0.41041438776531425,113.7761133174607,0.3496106309568482,0
CUST_000013,652,441.189777644402,86.34801528959088,16,1,1,1,2,Basic,12,2.4879337512324655,0.05679031825427915,105.3723229215603,0.38470599213816564,0
CUST_000014,87,195.37835375080954,34.871189650914985,15,2,0,8,0,Premium,12,3.6631168612843057,-0.3970032996372678,66.6045988133815,0.0,0
CUST_000015,73,258.1633628234052,41.64055983103333,16,2,2,5,0,Premium,24,3.2397194929913966,-0.5943141531219663,72.23381112777115,0.05178724005450194,0
CUST_000016,73,369.72200084379955,96.96188980707278,16,1,4,4,0,Basic,36,3.6407320832561734,-0.07124320096307238,115.06046582047809,0.0,0
CUST_000017,132,70.10284054111015,41.443856537224505,13,2,0,2,1,Enterprise,24,3.468965735018005,-0.6627237157462338,55.02186967290332,0.14666340822506857,0
CUST_000018,271,160.2536477036451,81.7787602102714,14,2,1,2,0,Basic,24,3.9557673261265918,0.07762145841628698,89.27241813676613,0.0,0
CUST_000019,206,461.9292513260896,24.594376005190995,17,2,1,5,2,Premium,12,1.956583250114688,-0.37728885701332243,71.45594563635134,0.32174765141164374,0
CUST_000020,125,89.70876343632015,100.0,17,5,2,6,0,Enterprise,12,2.720316536185556,-0.25217392442406833,79.57404170548757,0.0,0
CUST_000021,345,309.46541642420885,45.640054810880166,13,1,4,3,3,Enterprise,12,3.803284577498458,-0.68412479194731,84.39941482284556,0.2789705240818797,0
CUST_000022,54,82.65989644507913,40.20743559641019,17,0,2,17,1,Basic,24,3.8177899817125494,0.49503066414256375,59.9476072598385,0.15541401650744108,0
CUST_000023,126,355.36448673286225,9.29929797999513,13,4,1,15,1,Basic,12,2.991064612074747,-0.4388744660934236,62.69674378403126,0.055806476856850175,0
CUST_000024,166,237.81351453549908,44.12188219565875,19,4,1,2,2,Premium,12,3.7259440697353354,-0.10920037036436847,76.90173324873264,0.0,0
CUST_000025,222,67.21487298859763,14.411767819069413,12,3,0,8,2,Basic,12,3.0911411557332147,-0.5375215777383738,37.23878276572661,0.08703876381912641,0
CUST_000026,561,621.2859752403148,17.491538915572328,12,4,2,3,1,Basic,36,2.5805275145814703,-0.2507003425142317,89.07964212763235,0.0,0
CUST_000027,81,135.95537930574693,14.65269637874282,20,2,2,3,3,Premium,24,2.708544254613858,0.5255465343072631,42.00732866608468,0.0,0
CUST_000028,263,127.97028011882927,11.401729655985779,14,0,1,0,1,Premium,12,1.1785458436186604,0.08924302057960433,23.083351276062423,0.4788215639982979,0
